E	P3	E	P4	E	P5
470.4	-0.00968711762891531	470.4	0.121907416608785	467.1	0.101187742350362
470.5	-0.00747787010377826	470.5	0.117507485170553	467.2	0.109569262401385
470.6	-0.0179966231367455	470.6	0.12146807899705	467.3	0.11723266694693
470.7	-0.0246978327396661	470.7	0.12162636973776	467.4	0.121837493211485
470.8	-0.0222211181980079	470.8	0.123256348883355	467.5	0.123384642575277
470.9	-0.0317802411590682	470.9	0.13115374052009	467.6	0.123814673540861
471	-0.0366874879415994	471	0.133497247587884	467.7	0.133939669055476
471.1	-0.0253716656525898	471.1	0.130130990702536	467.8	0.148982492920129
471.2	-0.0131230215279025	471.2	0.126697939993372	467.9	0.155809708555049
471.3	-0.0202575544043093	471.3	0.129438438751854	468	0.156122783301516
471.4	-0.00657933638612642	471.4	0.130096936707571	468.1	0.153861106557251
471.5	0.0156448125750815	471.5	0.130514080917351	468.2	0.146455373304671
471.6	0.0429815693655422	471.6	0.133528631838161	468.3	0.147417918043264
471.7	0.0722819300378943	471.7	0.131659119336115	468.4	0.153867104342442
471.8	0.110085081455375	471.8	0.131026184061869	468.5	0.153555939465359
471.9	0.131464947075919	471.9	0.127620308561886	468.6	0.147814039005499
472	0.118415755253885	472	0.125176798233701	468.7	0.144933659113629
472.1	0.117049885204026	472.1	0.122470032723472	468.8	0.139355457493874
472.2	0.0974924319241796	472.2	0.120671721674283	468.9	0.136892544725849
472.3	0.0825835255543542	472.3	0.117323949137317	469	0.145685917244623
472.4	0.0567143975322794	472.4	0.121594827672425	469.1	0.147981629486155
472.5	0.0303486388988479	472.5	0.126670766543021	469.2	0.132731189071747
472.6	0.0107234956035231	472.6	0.127426345702223	469.3	0.121281754615793
472.7	-0.0215866484085978	472.7	0.128884597761934	469.4	0.118966569992053
472.8	-0.0271177070793129	472.8	0.135372760899545	469.5	0.115140823078169
472.9	-0.0373227500398007	472.9	0.138211881117281	469.6	0.112638977658147
473	-0.0547471072935084	473	0.14145553057343	469.7	0.113435436079367
473.1	-0.0531386206262983	473.1	0.142803330001314	469.8	0.104991180688961
473.2	-0.0669540052033516	473.2	0.147933519676513	469.9	0.0981392369992056
473.3	-0.0733344313239108	473.3	0.15607471622922	470	0.104030234837779
473.4	-0.0846014960721876	473.4	0.161490832410612	470.1	0.109299130624045
473.5	-0.089836456036381	473.5	0.163405179099072	470.2	0.107813868846317
473.6	-0.0862255947746207	473.6	0.163772687515383	470.3	0.106054366519675
473.7	-0.0460686950823702	473.7	0.159695781593452	470.4	0.10260347513848
473.8	-0.0222935940601245	473.8	0.155917246862318	470.5	0.100278890805437
473.9	-0.00830862071190497	473.9	0.149764517150067	470.6	0.10420776074625
474	0.00945587830898485	474	0.14388062770592	470.7	0.110834031725766
474.1	0.0337299432990046	474.1	0.136257836666817	470.8	0.114021332521907
474.2	0.0525943370173158	474.2	0.13504460311607	470.9	0.110201535718197
474.3	0.0503386621583049	474.3	0.134011613387794	471	0.100555099371067
474.4	0.00981077141310018	474.4	0.1327967126257	471.1	0.0972343839758091
474.5	-0.00602343263790912	474.5	0.129682553221981	471.2	0.0959147928412388
474.6	-0.0379117910778441	474.6	0.130162036138116	471.3	0.0995258878766734
474.7	-0.0566305293787997	474.7	0.127476572622606	471.4	0.102129870185451
474.8	-0.0823054801933024	474.8	0.130682299136541	471.5	0.0931733691012135
474.9	-0.0936489805971869	474.9	0.128560726567987	471.6	0.0813796366943104
475	-0.0986678285960482	475	0.12691452956685	471.7	0.0804764637617489
