E	P1	E	P2
472.35	0.264254669633156	472.25	0.00110416703430684
472.45	0.388417110777669	472.35	0.0657289302071886
472.55	0.348812542039634	472.45	0.13291227169545
472.65	0.379899234231904	472.55	0.0804859267339916
472.75	0.316112498059709	472.65	0.0241134524220135
472.85	0.240020761111399	472.75	0.0705379845831763
472.95	0.279160630206447	472.85	0.078568529466026
473.05	0.283870039323227	472.95	0.0279503324804081
473.15	0.307594621513944	473.05	0.0281134845069745
473.25	0.378052724168262	473.15	0.0658699436106811
473.35	0.266226005070627	473.25	0.011329007211095
473.45	0.40177601283179	473.35	0.0406720195076563
473.55	0.232168080923061	473.45	0.0111781116396217
473.65	0.0866857246339318	473.55	-0.0552937779239426
473.75	0.270146362601542	473.65	-0.0122559898611523
473.85	0.294208878770632	473.75	0.0672552118008487
473.95	0.168600597609562	473.85	0.028877267003024
474.05	0.24081531018782	473.95	-0.00538058378586497
474.15	0.158098773736224	474.05	0.00717036312154585
474.25	0.318406891912868	474.15	0.0697458068966624
474.35	0.158708671806281	474.25	-0.028944645421075
474.45	0.134204092720029	474.35	-0.0246733349910563
474.55	0.161477790138149	474.45	-0.032679334878759
474.65	0.332698427070937	474.55	0.00330163873938188
474.75	0.123777293423708	474.65	-0.00191077172352389
474.85	0.447760904434211	474.75	0.0626993077669669
474.95	0.294547782894396	474.85	0.0225523586456938
475.05	0.36262094479226	474.95	0.0928399201084472
475.15	0.0699342241423915	475.05	0.00852790990542958
475.25	0.408094893154654	475.15	0.0548510054624646
475.35	0.129371475138407	475.25	0.0440680522022315
475.45	0.236799878408444	475.35	0.0301826436403597
475.55	0.407933202255911	475.45	0.0640191226367421
475.65	0.121854788637657	475.55	-0.00772653987759587
475.75	0.281403606353806	475.65	0.0260963030103715
475.85	0.18848890153671	475.75	-0.00149717411706198
475.95	0.104657991410979	475.85	0.00550308416687388
476.05	0.204752095514048	475.95	0.0726363410310502
476.15	0.118710547420707	476.05	0.00965025788287385
476.25	0.265185685828116	476.15	0.0616196488301021
476.35	0.226673177420189	476.25	0.00881287248634384
476.45	0.263021938221141	476.35	-0.0574258235808421
476.55	0.271655262068609	476.45	0.0804365158940875
476.65	0.259243545299322	476.55	-0.00926276780915865
476.75	0.0920425441092772	476.65	-0.0138610881614515
476.85	0.244640270088477	476.75	-0.0131634488124554
476.95	0.323273141201428	476.85	0.0651201180726564
477.05	0.340466057846536	476.95	0.0226940137484058
477.15	0.12134255187044	477.05	-0.0796950324459168
477.25	0.0340284964039944	477.15	0.0856073282050871
477.35	0.235246675635122	477.25	-0.116774338448211
477.45	0.24348385678067	477.35	0.00112111431069472
477.55	0.224955373311947	477.45	0.0539035365648237
477.65	0.187661690898743	477.55	-0.0267110508626844
477.75	0.277115563719149	477.65	-0.0288352357041446
477.85	0.309282674496818	477.75	0.178482220920999
477.95	0.231657784446629	477.85	-0.0673768138029502
478.05	0.273040953070834	477.95	0.0545461983331863
478.15	0.283436384332799	478.05	0.0603927199223544
478.25	0.262219304599783	478.15	0.119530276171302
478.35	0.306779052620686	478.25	0.0370234781701947
478.45	0.166392223314534	478.35	0.00775410085907483
478.55	0.181356069229575	478.45	0.0421312435328751
478.65	0.211510128317897	478.55	0.0870894929774042
478.75	0.218108410513789	478.65	0.11655519816474
478.85	0.157401562580845	478.75	-0.038447569163144
478.95	0.0540991876649247	478.85	-0.0742142794118827
479.05	0.171529466549387	478.95	0.0655776496161836
479.15	0.273283489418948	479.05	0.0730447825842832
479.25	0.229694533554095	479.15	0.0123053686160954
479.35	0.178745731360273	479.25	0.0545064129815752
479.45	0.242520179024163	479.35	0.0508694222300652
479.55	0.287164006312413	479.45	0.00443678861625585
479.65	0.288146763594971	479.55	0.0398166344480184
479.75	0.277035365033373	479.65	0.0342585566580305
479.85	0.24430427640089	479.75	0.0118685960423201
479.95	0.217936694779324	479.85	-0.0344698361260618
480.05	0.214290565012677	479.95	0.0216311994160537
480.15	0.185268342215553	480.05	-0.00188309844468152
480.25	0.166718838929994	480.15	-0.00948136264829268
480.35	0.147979833911109	480.25	-0.00109201325108888
480.45	0.155514629792518	480.35	-0.0121582751124979
480.55	0.179020282506338	480.45	0.0322853315579655
480.65	0.188214350390645	480.55	-0.0148896357554805
480.75	0.213149997412946	480.65	0.0950370982361293
480.85	0.203757049723185	480.75	0.032654469034002
480.95	0.211569307186837	480.85	0.0352778958682591
481.05	0.224675648057122	480.95	0.0455009665594494
481.15	0.22229167744606	481.05	0.0871259094081127
481.25	0.217466174263983	481.15	0.0690210076281995
481.35	0.19557354995602	481.25	0.110252588855289
481.45	0.171264293475449	481.35	0.0551397701112546
481.55	0.190689838050396	481.45	0.0434999879681396
481.65	0.21305427640089	481.55	-0.00611398182386961
481.75	0.212323433538573	481.65	-0.00538445002366266
481.85	0.206837584726031	481.75	0.0454026261540559
481.95	0.192135354685156	481.85	0.0975584948944806
482.05	0.164327753919387	481.95	0.0165515083942279
482.15	0.15398406374502	482.05	0.0115569708588342
482.25	0.151163204325555	482.15	-0.0565043435015922
482.35	0.140337028509339	482.25	0.00345930423762122
482.45	0.138910914782429	482.35	0.0241399225148192
482.55	0.124914627205464	482.45	0.0116129912006995
482.65	0.150800693330574	482.55	-0.00165104396441778
482.75	0.15242665700833	482.65	0.0330641939856741
482.85	0.19047834635484	482.75	0.00636880058394629
482.95	0.173482692606199	482.85	-0.01625985609895
483.05	0.208303151032235	482.95	0.0252369073306115
483.15	0.219134824339008	483.05	0.0146454531599676
483.25	0.237387463134475	483.15	0.0104472643560147
483.35	0.224433435090806	483.25	0.0600885544922956
483.45	0.212997361204533	483.35	0.0115638530829637
483.55	0.229724608061261	483.45	-0.0117893782736687
483.65	0.190641007398976	483.55	0.0660188178296128
