,Energy (eV),Co-s,Co-py,Co-pz,Co-px,Co-xy,Co-yz,Co-z2,Co-xz,Co-x2-y2,Li-s,Li-py,Li-pz,Li-px,Li-xy,Li-yz,Li-z2,Li-xz,Li-x2-y2,O1-s,O1-py,O1-pz,O1-px,O1-xy,O1-yz,O1-z2,O1-xz,O1-x2-y2,O2-s,O2-py,O2-pz,O2-px,O2-xy,O2-yz,O2-z2,O2-xz,O2-x2-y2
1349,-5.785732397870202,1.273784,0.306006,0.267138,0.306006,1.098698,0.543693,0.999959,0.543693,1.098698,1.021566,0.359121,0.615162,0.359121,0.034524,0.031304,0.061792,0.031304,0.034524,0.177723,2.769717,3.306974,2.769717,0.001842,0.00692,0.009273,0.00692,0.001842,0.177723,2.769717,3.306974,2.769717,0.001842,0.00692,0.009273,0.00692,0.001842
1350,-5.781197165181569,1.259418,0.326966,0.292024,0.326966,1.103265,0.544359,1.013841,0.544359,1.103265,1.027467,0.389675,0.63527,0.389675,0.034645,0.031284,0.062446,0.031284,0.034645,0.181144,2.836072,3.419123,2.836072,0.001854,0.006966,0.009342,0.006966,0.001854,0.181144,2.836072,3.419123,2.836072,0.001854,0.006966,0.009342,0.006966,0.001854
1351,-5.776661932492935,1.246988,0.350505,0.318974,0.350505,1.111453,0.548116,1.028288,0.548116,1.111453,1.036773,0.422675,0.657981,0.422675,0.034908,0.031379,0.063374,0.031379,0.034908,0.18505,2.91649,3.542166,2.91649,0.001879,0.007032,0.009441,0.007032,0.001879,0.18505,2.91649,3.542166,2.91649,0.001879,0.007032,0.009441,0.007032,0.001879
1352,-5.772126699804302,1.236403,0.37542,0.346456,0.37542,1.123197,0.554931,1.043307,0.554931,1.123197,1.049527,0.456231,0.681648,0.456231,0.035303,0.031603,0.064594,0.031603,0.035303,0.189298,3.005976,3.671233,3.005976,0.001918,0.007117,0.009567,0.007117,0.001918,0.189298,3.005976,3.671233,3.005976,0.001918,0.007117,0.009567,0.007117,0.001918
1353,-5.767591467115668,1.227451,0.401258,0.373824,0.401258,1.139832,0.564682,1.059135,0.564682,1.139832,1.066552,0.489362,0.705596,0.489362,0.035825,0.031974,0.066124,0.031974,0.035825,0.193805,3.102835,3.80521,3.102835,0.001972,0.007224,0.009725,0.007224,0.001972,0.193805,3.102835,3.805211,3.102835,0.001972,0.007224,0.009725,0.007224,0.001972
1354,-5.763056234427035,1.217727,0.432426,0.405604,0.432426,1.183179,0.575617,1.079509,0.575617,1.183179,1.100503,0.524829,0.734974,0.524829,0.03652,0.03259,0.06807,0.03259,0.03652,0.198598,3.228251,3.97353,3.228251,0.002066,0.007409,0.010038,0.007409,0.002066,0.198598,3.228251,3.97353,3.228251,0.002066,0.007409,0.010038,0.007409,0.002066
1355,-5.758521001738401,1.20864,0.471492,0.444203,0.471492,1.25972,0.589251,1.105931,0.589251,1.25972,1.154684,0.565181,0.773937,0.565181,0.037568,0.033464,0.07048,0.033464,0.037568,0.204171,3.3957,4.191081,3.3957,0.002211,0.007701,0.010551,0.007701,0.002211,0.204171,3.3957,4.191081,3.3957,0.002211,0.007701,0.010551,0.007701,0.002211
1356,-5.753985769049768,1.207233,0.514058,0.484667,0.514058,1.337808,0.61148,1.133854,0.61148,1.337808,1.210079,0.609138,0.819206,0.609138,0.039177,0.034427,0.073248,0.034427,0.039177,0.211281,3.585893,4.425292,3.585893,0.002378,0.008036,0.0111,0.008036,0.002378,0.211281,3.585893,4.425292,3.585893,0.002378,0.008036,0.0111,0.008036,0.002378
1357,-5.749450536361135,1.216118,0.556968,0.522658,0.556968,1.40297,0.645838,1.161644,0.645838,1.40297,1.258154,0.653713,0.86793,0.653713,0.041409,0.03542,0.076328,0.03542,0.041409,0.220037,3.784432,4.655981,3.784432,0.002556,0.008389,0.011609,0.008389,0.002556,0.220037,3.784432,4.655981,3.784432,0.002556,0.008389,0.011609,0.008389,0.002556
1358,-5.744915303672503,1.228355,0.58765,0.541467,0.58765,1.457602,0.688835,1.190643,0.688835,1.457602,1.299028,0.677862,0.905175,0.677862,0.043781,0.036365,0.079271,0.036365,0.043781,0.227814,3.931479,4.8308,3.931479,0.002736,0.00874,0.01206,0.00874,0.002736,0.227814,3.931479,4.8308,3.931479,0.002736,0.00874,0.01206,0.00874,0.002736
