E, eV	P1	P2	P3	E	P4
-4.80339490097397	0.011117621031755	3.19082435307643E-5	8.93554237879316E-4	-6.09998	0.0187087993235372
-4.70339490097397	0.0111734110348382	3.23070558272455E-5	8.91796302755494E-4	-5.99998	0.0194363009720275
-4.60339490097397	0.0113120741616665	3.26990053610425E-5	8.89682595047088E-4	-5.89998	0.020076982287316
-4.50339490097397	0.0115240823007854	3.30855504692257E-5	8.87164283222881E-4	-5.79998	0.020626034281322
-4.40339490097397	0.0116850491740413	3.34487621842829E-5	8.84443669340774E-4	-5.69998	0.0211291164860389
-4.30339490097397	0.0117828118867477	3.38008219099785E-5	8.81778862922916E-4	-5.59998	0.0216659650264203
-4.20339490097397	0.0117838841822491	3.41382124804367E-5	8.79386117893268E-4	-5.49998	0.0223120499896061
-4.10339490097397	0.0118335161454532	3.44828947362468E-5	8.77223578653645E-4	-5.39998	0.0231018616449505
-4.00339490097397	0.0120165110320077	3.4823716688047E-5	8.75123822811301E-4	-5.29998	0.0240194217417332
-3.90339490097397	0.0123386898746341	3.51684847283907E-5	8.72807813044995E-4	-5.19998	0.0250199756650726
-3.80339490097397	0.0127394832960146	3.54913777126787E-5	8.70156958493198E-4	-5.09998	0.0260608371820575
-3.70339490097397	0.0131234876335459	3.58026897849372E-5	8.67192186955005E-4	-4.99998	0.0271175218211149
-3.60339490097397	0.0134542448401828	3.60882664971303E-5	8.64136728287409E-4	-4.89998	0.0281770504853814
-3.50339490097397	0.0136834403443372	3.63793334194707E-5	8.61164980816184E-4	-4.79998	0.0292301154559909
-3.40339490097397	0.0138409145979602	3.66671405295361E-5	8.58430415068015E-4	-4.69998	0.030272838516749
-3.30339490097397	0.0140024023004596	3.69758790657881E-5	8.55821416114405E-4	-4.59998	0.0313168543162386
-3.20339490097397	0.0142507459385662	3.72697768777357E-5	8.53205441227764E-4	-4.49998	0.032393705679506
-3.10338490097397	0.0146512023527892	3.75583560486031E-5	8.50359260551099E-4	-4.39997	0.0335413991252549
-3.00338490097397	0.0151357880083447	3.78034424609598E-5	8.47254970352285E-4	-4.29997	0.0347824283074119
-2.90338490097397	0.0156349568827181	3.80447543538403E-5	8.43934426229508E-4	-4.19997	0.0361103295323199
-2.80338490097397	0.0161282434503414	3.82651348205342E-5	8.40620858039763E-4	-4.09997	0.0375010578595745
-2.70338490097397	0.0166437724903636	3.85198291006488E-5	8.37404952912452E-4	-3.99997	0.0389378076856675
-2.60338490097397	0.0171942277267147	3.87655160047404E-5	8.34370422043948E-4	-3.89997	0.0404285939907336
-2.50338490097397	0.0177083781010923	3.90383966059678E-5	8.31335891175445E-4	-3.79997	0.0420028912178489
-2.40338490097397	0.0180686693895372	3.92644388518761E-5	8.28245552842693E-4	-3.69997	0.0436878468803733
-2.30338490097397	0.0181092634335159	3.94992311202067E-5	8.24897104987792E-4	-3.59997	0.0454914759584414
-2.20338490097397	0.0177248914518127	3.96738026459841E-5	8.21437042204395E-4	-3.49997	0.0474057634719186
-2.10338490097397	0.0168038202531898	3.98903228086682E-5	8.17851412626439E-4	-3.39997	0.0494270897523567
-2.00338490097397	0.0152780050288345	4.00594041242983E-5	8.14433205441228E-4	-3.29997	0.0515678650915775
-1.90338490097397	0.0131442595292572	4.03056915201248E-5	8.11021974189048E-4	-3.19997	0.0538423096156264
-1.80338490097397	0.0103754087227529	4.04673095813359E-5	8.07771189396582E-4	-3.09997	0.0562364617462043
-1.70338490097397	0.00715784820446606	4.07171999275715E-5	8.04199511684688E-4	-2.99997	0.0586939580746213
-1.60338490097397	0.00387401982419737	4.08117344835453E-5	8.00676665504011E-4	-2.89997	0.061136458633754
-1.50338490097397	0.00112180185276933	4.10789533055584E-5	7.96686431810255E-4	-2.79997	0.0635047559897036
-1.40338490097397	0	4.1095080797866E-5	7.93212417160795E-4	-2.69997	0.0657763564885434
-1.30338490097397	0.00233102642591088	4.15103637247891E-5	7.89075688873387E-4	-2.59997	0.0679419524114073
-1.20338490097397	0.0109817152362158	4.12798606831361E-5	7.86536449250087E-4	-2.49997	0.069953712425233
-1.10338490097397	0.029803197341711	4.22918608254436E-5	7.8033484478549E-4	-2.39997	0.0716898605415214
-1.00338490097397	0.0645295177891004	4.00380437754439E-5	7.90652249738403E-4	-2.29997	0.0729645009306951
-0.903384900973968	0.122166626465834	5.40232389267511E-5	0.0119154516916638	-2.19997	0.0735782932803702
-0.803384900973968	0.210536336950797	0.0119058638425514	0.0340292291594001	-2.09997	0.0733823140886879
-0.703384900973968	0.336290251423775	0.0402365491860822	0.0696899197767702	-1.99997	0.0723457961738406
-0.603384900973968	0.501797530202405	0.088749247031083	0.122734565748169	-1.89997	0.0706393810483748
-0.503374900973968	0.701814341915072	0.16424907285513	0.196255319148936	-1.79996	0.0687599974806458
-0.403374900973968	0.92168087520796	0.272606948565425	0.291479595395884	-1.69996	0.0677061568667975
-0.303374900973968	1.13829988498255	0.416703518798627	0.406597139867457	-1.59996	0.0692039239610132
-0.203374900973968	1.32512746202894	0.594368434855883	0.535960934775026	-1.49996	0.0759716697677092
-0.103374900973968	1.45930839366175	0.79717593985176	0.670050924311127	-1.39996	0.0920080937308938
-0.00337490097396775	1.52835809654414	1.01072195275762	0.796393442622951	-1.29996	0.122816901725687
0.0966250990260322	1.53323244552302	1.21648473493435	0.90133937914196	-1.19996	0.175405254771842
0.196625099026032	1.48607288937479	1.39459916194741	0.972298569933729	-1.09996	0.257832086120992
0.296625099026032	1.40418934119226	1.52681028505705	1	-0.99996	0.378136420848303
0.396625099026032	1.30339050036638	1.59894649932054	0.980272061388211	-0.89996	0.542676206582615
0.496625099026032	1.19387849266689	1.60277248951694	0.914970352284618	-0.79996	0.754230314500973
0.596625099026032	1.07980463353462	1.53750761639093	0.811845134286711	-0.69996	1.01036581031086
0.696625099026032	0.961508993828563	1.41062371281484	0.683209626787583	-0.59996	1.3026643793933
0.796625099026032	0.838479935409521	1.23741616112092	0.543679107080572	-0.49996	1.61705585339561
0.896625099026032	0.711544657664228	1.03872202450884	0.407479595395884	-0.39996	1.93511094896274
0.996625099026032	0.583681078384932	0.836900183803472	0.28605162190443	-0.29996	2.23587178578101
1.09662509902603	0.459693081417563	0.651220418776496	0.186562957795605	-0.19996	2.49778582372032
1.19662509902603	0.345178049279034	0.494307639230693	0.111603069410534	-0.09996	2.70071219334522
1.29662509902603	0.245307203617013	0.370912592634149	0.0599211021974189	4.000000000004E-5	2.82812452271334
1.39662509902603	0.163758824371186	0.279124857424671	0.0277625392396233	0.10004	2.86944045256931
1.49662509902603	0.101974995805761	0.213099075486056	0.0103084059993024	0.20004	2.82222963409809
1.59662509902603	0.0590969624092502	0.165896993744655	0.00283151028950122	0.30004	2.6928264870836
